,Unnamed: 0,Longitude,Latitude,Location,coords_x,coords_y
0,0,-87.6618302,41.867689399999996,"(41.867689399999996, -87.6618302)",-9758470.299870411,5141180.516718469
1,1,-87.862995,41.99247800000001,"(41.99247800000001, -87.862995)",-9780863.862971943,5159852.751517249
2,2,-87.75573633333332,41.79260475,"(41.79260475, -87.75573633333332)",-9768923.882815441,5129963.090877448
3,3,-87.59149685714287,41.72480314285714,"(41.72480314285714, -87.59149685714287)",-9750640.827957766,5119845.015022047
4,4,-87.73314725,41.98646400000001,"(41.98646400000001, -87.73314725)",-9766409.27756129,5158952.0325033525
5,5,-87.78944081818182,41.921699909090904,"(41.921699909090904, -87.78944081818182)",-9772675.848906226,5149257.676783393
6,6,-87.71045259999998,41.682822200000004,"(41.682822200000004, -87.71045259999998)",-9763882.920679556,5113585.524599911
7,7,-87.890615,41.974689,"(41.974689, -87.890615)",-9783938.50730765,5157188.732730315
8,8,-87.71397255555556,41.94307844444444,"(41.94307844444444, -87.71397255555556)",-9764274.760339618,5152456.681017153
9,9,-87.6620692,41.798683399999994,"(41.798683399999994, -87.6620692)",-9758496.90522871,5130870.734091333
10,10,-87.73360840000002,41.7474682,"(41.7474682, -87.73360840000002)",-9766460.612544471,5123226.146317051
11,11,-87.79660209090908,42.009308000000004,"(42.009308000000004, -87.79660209090908)",-9773473.038139656,5162373.839299804
12,12,-87.53869300000002,41.659112,"(41.659112, -87.53869300000002)",-9744762.729468703,5110052.063865019
13,13,-87.6559045,41.724762125,"(41.724762125, -87.6559045)",-9757810.653963817,5119838.897135429
14,14,-87.8084302,41.957833799999996,"(41.957833799999996, -87.8084302)",-9774789.737220705,5154665.243013171
15,15,-87.71159735294117,41.89340605882353,"(41.89340605882353, -87.71159735294117)",-9764010.353994053,5145025.538084828
16,16,-87.68138530769232,41.98044807692308,"(41.98044807692308, -87.68138530769232)",-9760647.164501129,5158051.110592911
17,17,-87.64024555555555,41.92028533333333,"(41.92028533333333, -87.64024555555555)",-9756067.508241901,5149046.042759197
18,18,-87.599862,41.673408,"(41.673408, -87.599862)",-9751572.031401034,5112182.398522262
19,19,-87.75929649999999,41.968046625,"(41.968046625, -87.75929649999999)",-9769320.198755914,5156194.184545672
20,20,-87.58339866666668,41.77272166666667,"(41.77272166666667, -87.58339866666668)",-9749739.34151761,5126994.817994656
21,21,-87.69898066666669,41.771114666666655,"(41.771114666666655, -87.69898066666669)",-9762605.870902479,5126754.955028501
22,22,-87.62532424999998,41.773709,"(41.773709, -87.62532424999998)",-9754406.476105483,5127142.191666854
23,23,-87.754526,41.90769466666666,"(41.90769466666666, -87.754526)",-9768789.149125086,5147162.565619968
